CityID,City,State,Country,Subregion,Region
1,Kabul,Kabul,Afghanistan,Southern Asia,Asia
2,Kandahar,Kandahar,Afghanistan,Southern Asia,Asia
3,Jalalabad,Nangarhar,Afghanistan,Southern Asia,Asia
4,Bahía Blanca ,Buenos Aires,Argentina,South America,Americas
5,Buenos Aires ,Buenos Aires,Argentina,South America,Americas
6,La Plata ,Buenos Aires,Argentina,South America,Americas
7,Lanús ,Buenos Aires,Argentina,South America,Americas
8,Mar del Plata ,Buenos Aires,Argentina,South America,Americas
9,Pilar ,Buenos Aires,Argentina,South America,Americas
10,Vicente López ,Buenos Aires,Argentina,South America,Americas
11,Resistencia ,Chaco,Argentina,South America,Americas
12,Córdoba ,Córdoba,Argentina,South America,Americas
13,Corrientes ,Corrientes,Argentina,South America,Americas
14,Paraná ,Entre Ríos,Argentina,South America,Americas
15,Formosa ,Formosa,Argentina,South America,Americas
16,San Salvador de Jujuy ,Jujuy,Argentina,South America,Americas
17,La Rioja ,La Rioja,Argentina,South America,Americas
18,Godoy Cruz ,Mendoza,Argentina,South America,Americas
19,Las Heras ,Mendoza,Argentina,South America,Americas
20,Posadas ,Misiones,Argentina,South America,Americas
21,Neuquén ,Neuquén,Argentina,South America,Americas
22,Salta ,Salta,Argentina,South America,Americas
23,Rosario ,Santa Fe,Argentina,South America,Americas
24,Santa Fe de la Vera Cruz ,Santa Fe,Argentina,South America,Americas
25,Santiago del Estero ,Santiago del Estero,Argentina,South America,Americas
26,San Miguel de Tucumán ,Tucumán,Argentina,South America,Americas
27,Yerevan,Armenia,Armenia,Western Asia,Asia
28,Canberra,Australian Capital Territory,Australia,Australia and New Zealand,Oceania
29,Albury,New South Wales,Australia,Australia and New Zealand,Oceania
30,Armidale,New South Wales,Australia,Australia and New Zealand,Oceania
31,Broken Hill,New South Wales,Australia,Australia and New Zealand,Oceania
32,Cessnock,New South Wales,Australia,Australia and New Zealand,Oceania
33,Coffs Harbour,New South Wales,Australia,Australia and New Zealand,Oceania
34,Darlinghurst,New South Wales,Australia,Australia and New Zealand,Oceania
35,Dubbo,New South Wales,Australia,Australia and New Zealand,Oceania
36,Goulburn,New South Wales,Australia,Australia and New Zealand,Oceania
37,Griffith,New South Wales,Australia,Australia and New Zealand,Oceania
38,Lane Cove,New South Wales,Australia,Australia and New Zealand,Oceania
39,Lavender Bay,New South Wales,Australia,Australia and New Zealand,Oceania
40,Lismore,New South Wales,Australia,Australia and New Zealand,Oceania
41,Malabar,New South Wales,Australia,Australia and New Zealand,Oceania
42,Matraville,New South Wales,Australia,Australia and New Zealand,Oceania
43,Milsons Point,New South Wales,Australia,Australia and New Zealand,Oceania
44,Newcastle,New South Wales,Australia,Australia and New Zealand,Oceania
45,North Ryde,New South Wales,Australia,Australia and New Zealand,Oceania
46,North Sydney,New South Wales,Australia,Australia and New Zealand,Oceania
47,Nowra,New South Wales,Australia,Australia and New Zealand,Oceania
48,Orange,New South Wales,Australia,Australia and New Zealand,Oceania
49,Port Macquarie,New South Wales,Australia,Australia and New Zealand,Oceania
50,Queanbeyan,New South Wales,Australia,Australia and New Zealand,Oceania
51,Rhodes,New South Wales,Australia,Australia and New Zealand,Oceania
52,Silverwater,New South Wales,Australia,Australia and New Zealand,Oceania
53,Springwood,New South Wales,Australia,Australia and New Zealand,Oceania
54,St. Leonards,New South Wales,Australia,Australia and New Zealand,Oceania
55,Sydney,New South Wales,Australia,Australia and New Zealand,Oceania
56,Tamworth,New South Wales,Australia,Australia and New Zealand,Oceania
57,Wagga Wagga,New South Wales,Australia,Australia and New Zealand,Oceania
58,Wollongong,New South Wales,Australia,Australia and New Zealand,Oceania
59,Alice Springs,Northern Territory,Australia,Australia and New Zealand,Oceania
60,Brisbane,Queensland,Australia,Australia and New Zealand,Oceania
61,Bundaberg,Queensland,Australia,Australia and New Zealand,Oceania
62,Cairns,Queensland,Australia,Australia and New Zealand,Oceania
63,Caloundra,Queensland,Australia,Australia and New Zealand,Oceania
64,East Brisbane,Queensland,Australia,Australia and New Zealand,Oceania
65,Gladstone,Queensland,Australia,Australia and New Zealand,Oceania
66,Gold Coast,Queensland,Australia,Australia and New Zealand,Oceania
67,Hawthorne,Queensland,Australia,Australia and New Zealand,Oceania
68,Hervey Bay,Queensland,Australia,Australia and New Zealand,Oceania
69,Mackay,Queensland,Australia,Australia and New Zealand,Oceania
70,Maryborough,Queensland,Australia,Australia and New Zealand,Oceania
71,Mount Isa,Queensland,Australia,Australia and New Zealand,Oceania
72,Rockhampton,Queensland,Australia,Australia and New Zealand,Oceania
73,Toowoomba,Queensland,Australia,Australia and New Zealand,Oceania
74,Townsville,Queensland,Australia,Australia and New Zealand,Oceania
75,Adelaide ,South Australia,Australia,Australia and New Zealand,Oceania
76,Cloverdale,South Australia,Australia,Australia and New Zealand,Oceania
77,Findon,South Australia,Australia,Australia and New Zealand,Oceania
78,Gawler,South Australia,Australia,Australia and New Zealand,Oceania
79,Mount Gambier,South Australia,Australia,Australia and New Zealand,Oceania
80,Murray Bridge,South Australia,Australia,Australia and New Zealand,Oceania
81,Whyalla,South Australia,Australia,Australia and New Zealand,Oceania
82,Burnie,Tasmania,Australia,Australia and New Zealand,Oceania
83,Devonport,Tasmania,Australia,Australia and New Zealand,Oceania
84,Hobart,Tasmania,Australia,Australia and New Zealand,Oceania
85,Launceston,Tasmania,Australia,Australia and New Zealand,Oceania
86,Ballarat,Victoria,Australia,Australia and New Zealand,Oceania
87,Bendigo,Victoria,Australia,Australia and New Zealand,Oceania
88,Cranbourne,Victoria,Australia,Australia and New Zealand,Oceania
89,Echuca,Victoria,Australia,Australia and New Zealand,Oceania
90,Geelong,Victoria,Australia,Australia and New Zealand,Oceania
91,Melbourne,Victoria,Australia,Australia and New Zealand,Oceania
92,Melton,Victoria,Australia,Australia and New Zealand,Oceania
93,Mildura,Victoria,Australia,Australia and New Zealand,Oceania
94,Seaford,Victoria,Australia,Australia and New Zealand,Oceania
95,South Melbourne,Victoria,Australia,Australia and New Zealand,Oceania
96,Sunbury,Victoria,Australia,Australia and New Zealand,Oceania
97,Traralgon,Victoria,Australia,Australia and New Zealand,Oceania
98,Warrnambool,Victoria,Australia,Australia and New Zealand,Oceania
99,Wodonga,Victoria,Australia,Australia and New Zealand,Oceania
100,Albany,Western Australia,Australia,Australia and New Zealand,Oceania
101,Bunbury,Western Australia,Australia,Australia and New Zealand,Oceania
102,Geraldton,Western Australia,Australia,Australia and New Zealand,Oceania
103,Perth,Western Australia,Australia,Australia and New Zealand,Oceania
104,Chittagong,Chittagong,Bangladesh,Southern Asia,Asia
105,Cox’s Bāzār,Chittagong,Bangladesh,Southern Asia,Asia
106,Dhaka,Dhaka,Bangladesh,Southern Asia,Asia
107,Narsingdi,Dhaka,Bangladesh,Southern Asia,Asia
108,Khulna,Khulna,Bangladesh,Southern Asia,Asia
109,Rajshahi,Rajshahi,Bangladesh,Southern Asia,Asia
110,Sylhet,Sylhet,Bangladesh,Southern Asia,Asia
111,Antwerp ,Antwerp,Belgium,Western Europe,Europe
112,Mechelen ,Antwerp,Belgium,Western Europe,Europe
113,Turnhout ,Antwerp,Belgium,Western Europe,Europe
114,Brussels ,Brussels,Belgium,Western Europe,Europe
115,Aalst ,East Flanders,Belgium,Western Europe,Europe
116,Dendermonde ,East Flanders,Belgium,Western Europe,Europe
117,Ghent ,East Flanders,Belgium,Western Europe,Europe
118,Sint-Niklaas ,East Flanders,Belgium,Western Europe,Europe
119,Leuven ,Flemish Brabant,Belgium,Western Europe,Europe
120,Vilvoorde ,Flemish Brabant,Belgium,Western Europe,Europe
121,Charleroi ,Hainaut,Belgium,Western Europe,Europe
122,La Louvière ,Hainaut,Belgium,Western Europe,Europe
123,Mons ,Hainaut,Belgium,Western Europe,Europe
124,Mouscron ,Hainaut,Belgium,Western Europe,Europe
125,Tournai ,Hainaut,Belgium,Western Europe,Europe
126,Liège ,Liège,Belgium,Western Europe,Europe
127,Seraing ,Liège,Belgium,Western Europe,Europe
128,Verviers ,Liège,Belgium,Western Europe,Europe
129,Beringen ,Limburg,Belgium,Western Europe,Europe
130,Genk ,Limburg,Belgium,Western Europe,Europe
131,Hasselt ,Limburg,Belgium,Western Europe,Europe
132,Namur ,Namur,Belgium,Western Europe,Europe
133,Bruges ,West Flanders,Belgium,Western Europe,Europe
134,Kortrijk ,West Flanders,Belgium,Western Europe,Europe
135,Ostend ,West Flanders,Belgium,Western Europe,Europe
136,Roeselare ,West Flanders,Belgium,Western Europe,Europe
137,Thimphu,Thimphu,Bhutan,Southern Asia,Asia
138,Maceió ,Alagoas,Brazil,South America,Americas
139,Manaus ,Amazonas,Brazil,South America,Americas
140,Salvador ,Bahia,Brazil,South America,Americas
141,Fortaleza ,Ceará,Brazil,South America,Americas
142,Brasília ,Distrito Federal,Brazil,South America,Americas
143,Goiânia ,Goiás,Brazil,South America,Americas
144,São Luís ,Maranhão,Brazil,South America,Americas
145,Campo Grande ,Mato Grosso do Sul,Brazil,South America,Americas
146,Belo Horizonte ,Minas Gerais,Brazil,South America,Americas
147,Belém ,Pará,Brazil,South America,Americas
148,Curitiba ,Paraná,Brazil,South America,Americas
149,Recife ,Pernambuco,Brazil,South America,Americas
150,Teresina ,Piauí,Brazil,South America,Americas
151,Duque de Caxias ,Rio de Janeiro,Brazil,South America,Americas
152,Rio de Janeiro ,Rio de Janeiro,Brazil,South America,Americas
153,São Gonçalo ,Rio de Janeiro,Brazil,South America,Americas
154,Natal ,Rio Grande do Norte,Brazil,South America,Americas
155,Porto Alegre ,Rio Grande do Sul,Brazil,South America,Americas
156,Campinas ,São Paulo,Brazil,South America,Americas
157,Guarulhos ,São Paulo,Brazil,South America,Americas
158,São Bernardo do Campo ,São Paulo,Brazil,South America,Americas
159,São Paulo ,São Paulo,Brazil,South America,Americas
160,Phnom Penh,Phnom Penh,Cambodia,South-Eastern Asia,Asia
161,Calgary,Alberta,Canada,Northern America,Americas
162,Burnaby,British Columbia,Canada,Northern America,Americas
163,Cliffside,British Columbia,Canada,Northern America,Americas
164,Haney,British Columbia,Canada,Northern America,Americas
165,Langford,British Columbia,Canada,Northern America,Americas
166,Langley,British Columbia,Canada,Northern America,Americas
167,Metchosin,British Columbia,Canada,Northern America,Americas
168,N. Vancouver,British Columbia,Canada,Northern America,Americas
169,Newton,British Columbia,Canada,Northern America,Americas
170,Oak Bay,British Columbia,Canada,Northern America,Americas
171,Port Hammond,British Columbia,Canada,Northern America,Americas
172,Royal Oak,British Columbia,Canada,Northern America,Americas
173,Shawnee,British Columbia,Canada,Northern America,Americas
174,Sooke,British Columbia,Canada,Northern America,Americas
175,Vancouver,British Columbia,Canada,Northern America,Americas
176,Victoria,British Columbia,Canada,Northern America,Americas
177,Westminster,British Columbia,Canada,Northern America,Americas
178,Chalk River,Ontario,Canada,Northern America,Americas
179,Ottawa,Ontario,Canada,Northern America,Americas
180,Antofagasta ,Antofagasta,Chile,South America,Americas
181,Temuco ,Araucanía,Chile,South America,Americas
182,Arica ,Arica,Chile,South America,Americas
183,Chillán ,Biobío,Chile,South America,Americas
184,Concepción ,Biobío,Chile,South America,Americas
185,Talcahuano ,Biobío,Chile,South America,Americas
186,Coquimbo ,Coquimbo,Chile,South America,Americas
187,La Serena ,Coquimbo,Chile,South America,Americas
188,Osorno ,Los Lagos,Chile,South America,Americas
189,Puerto Montt ,Los Lagos,Chile,South America,Americas
190,Talca ,Maule,Chile,South America,Americas
191,Rancagua ,O'Higgins,Chile,South America,Americas
192,Cerro Navia ,Santiago Metropolitan,Chile,South America,Americas
193,Conchalí ,Santiago Metropolitan,Chile,South America,Americas
194,El Bosque ,Santiago Metropolitan,Chile,South America,Americas
195,Estación Central ,Santiago Metropolitan,Chile,South America,Americas
196,La Florida ,Santiago Metropolitan,Chile,South America,Americas
197,La Granja ,Santiago Metropolitan,Chile,South America,Americas
198,La Pintana ,Santiago Metropolitan,Chile,South America,Americas
199,Las Condes ,Santiago Metropolitan,Chile,South America,Americas
200,Maipú ,Santiago Metropolitan,Chile,South America,Americas
201,Ñuñoa ,Santiago Metropolitan,Chile,South America,Americas
202,Peñalolén ,Santiago Metropolitan,Chile,South America,Americas
203,Pudahuel ,Santiago Metropolitan,Chile,South America,Americas
204,Puente Alto ,Santiago Metropolitan,Chile,South America,Americas
205,Recoleta ,Santiago Metropolitan,Chile,South America,Americas
206,Renca ,Santiago Metropolitan,Chile,South America,Americas
207,San Bernardo ,Santiago Metropolitan,Chile,South America,Americas
208,Santiago ,Santiago Metropolitan,Chile,South America,Americas
209,Iquique ,Tarapacá,Chile,South America,Americas
210,Valparaíso ,Valparaíso,Chile,South America,Americas
211,Viña del Mar ,Valparaíso,Chile,South America,Americas
212,Anqing,Anhui,China,Eastern Asia,Asia
213,Bengbu,Anhui,China,Eastern Asia,Asia
214,Hefei,Anhui,China,Eastern Asia,Asia
215,Huaibei,Anhui,China,Eastern Asia,Asia
216,Huainan,Anhui,China,Eastern Asia,Asia
217,Huangshan,Anhui,China,Eastern Asia,Asia
218,Suzhou,Anhui,China,Eastern Asia,Asia
219,Tongling,Anhui,China,Eastern Asia,Asia
220,Beijing,Beijing,China,Eastern Asia,Asia
221,Chongqing,Chongqing,China,Eastern Asia,Asia
222,Fuzhou,Fujian,China,Eastern Asia,Asia
223,Quanzhou,Fujian,China,Eastern Asia,Asia
224,Sanming,Fujian,China,Eastern Asia,Asia
225,Zhangzhou,Fujian,China,Eastern Asia,Asia
226,Lanzhou,Gansu,China,Eastern Asia,Asia
227,Suzhou,Gansu,China,Eastern Asia,Asia
228,Chaozhou,Guangdong,China,Eastern Asia,Asia
229,Dongguan,Guangdong,China,Eastern Asia,Asia
230,Foshan,Guangdong,China,Eastern Asia,Asia
231,Guangzhou,Guangdong,China,Eastern Asia,Asia
232,Heyuan,Guangdong,China,Eastern Asia,Asia
233,Huizhou,Guangdong,China,Eastern Asia,Asia
234,Jiangmen,Guangdong,China,Eastern Asia,Asia
235,Jieyang,Guangdong,China,Eastern Asia,Asia
236,Meizhou,Guangdong,China,Eastern Asia,Asia
237,Shantou,Guangdong,China,Eastern Asia,Asia
238,Shenzhen,Guangdong,China,Eastern Asia,Asia
239,Yangjiang,Guangdong,China,Eastern Asia,Asia
240,Zhanjiang,Guangdong,China,Eastern Asia,Asia
241,Zhaoqing,Guangdong,China,Eastern Asia,Asia
242,Zhuhai,Guangdong,China,Eastern Asia,Asia
243,Guilin,Guangxi,China,Eastern Asia,Asia
244,Nanning,Guangxi,China,Eastern Asia,Asia
245,Wuzhou,Guangxi,China,Eastern Asia,Asia
246,Anshun,Guizhou,China,Eastern Asia,Asia
247,Bijie,Guizhou,China,Eastern Asia,Asia
248,Guiyang,Guizhou,China,Eastern Asia,Asia
249,Zunyi,Guizhou,China,Eastern Asia,Asia
250,Haikou,Hainan,China,Eastern Asia,Asia
251,Sanya,Hainan,China,Eastern Asia,Asia
252,Baoding,Hebei,China,Eastern Asia,Asia
253,Cangzhou,Hebei,China,Eastern Asia,Asia
254,Handan,Hebei,China,Eastern Asia,Asia
255,Langfang,Hebei,China,Eastern Asia,Asia
256,Shijiazhuang,Hebei,China,Eastern Asia,Asia
257,Tangshan,Hebei,China,Eastern Asia,Asia
258,Xingtai,Hebei,China,Eastern Asia,Asia
259,Zhangjiakou,Hebei,China,Eastern Asia,Asia
260,Daqing,Heilongjiang,China,Eastern Asia,Asia
261,Harbin,Heilongjiang,China,Eastern Asia,Asia
262,Jiamusi,Heilongjiang,China,Eastern Asia,Asia
263,Jixi,Heilongjiang,China,Eastern Asia,Asia
264,Mudanjiang,Heilongjiang,China,Eastern Asia,Asia
265,Qiqihar,Heilongjiang,China,Eastern Asia,Asia
266,Qitaihe,Heilongjiang,China,Eastern Asia,Asia
267,Shuangyashan,Heilongjiang,China,Eastern Asia,Asia
268,Suihua,Heilongjiang,China,Eastern Asia,Asia
269,Yichun,Heilongjiang,China,Eastern Asia,Asia
270,Jiaozuo,Henan,China,Eastern Asia,Asia
271,Kaifeng,Henan,China,Eastern Asia,Asia
272,Luohe,Henan,China,Eastern Asia,Asia
273,Luoyang,Henan,China,Eastern Asia,Asia
274,Nanyang,Henan,China,Eastern Asia,Asia
275,Pingdingshan,Henan,China,Eastern Asia,Asia
276,Puyang,Henan,China,Eastern Asia,Asia
277,Shangqiu,Henan,China,Eastern Asia,Asia
278,Xinxiang,Henan,China,Eastern Asia,Asia
279,Zhengzhou,Henan,China,Eastern Asia,Asia
280,Zhoukou,Henan,China,Eastern Asia,Asia
281,Zhumadian,Henan,China,Eastern Asia,Asia
282,Ezhou,Hubei,China,Eastern Asia,Asia
283,Huangshi,Hubei,China,Eastern Asia,Asia
284,Jingmen,Hubei,China,Eastern Asia,Asia
285,Suizhou,Hubei,China,Eastern Asia,Asia
286,Wuhan,Hubei,China,Eastern Asia,Asia
287,Xiangfan,Hubei,China,Eastern Asia,Asia
288,Xianning,Hubei,China,Eastern Asia,Asia
289,Xiaogan,Hubei,China,Eastern Asia,Asia
290,Changde,Hunan,China,Eastern Asia,Asia
291,Changsha,Hunan,China,Eastern Asia,Asia
292,Chenzhou,Hunan,China,Eastern Asia,Asia
293,Hengyang,Hunan,China,Eastern Asia,Asia
294,Huaihua,Hunan,China,Eastern Asia,Asia
295,Loudi,Hunan,China,Eastern Asia,Asia
296,Xiangtan,Hunan,China,Eastern Asia,Asia
297,Yiyang,Hunan,China,Eastern Asia,Asia
298,Yueyang,Hunan,China,Eastern Asia,Asia
299,Zhuzhou,Hunan,China,Eastern Asia,Asia
300,Baotou,Inner Mongolia,China,Eastern Asia,Asia
301,Chifeng,Inner Mongolia,China,Eastern Asia,Asia
302,Hohhot,Inner Mongolia,China,Eastern Asia,Asia
303,Tongliao,Inner Mongolia,China,Eastern Asia,Asia
304,Wuhai,Inner Mongolia,China,Eastern Asia,Asia
305,Changzhou,Jiangsu,China,Eastern Asia,Asia
306,Huaiyin,Jiangsu,China,Eastern Asia,Asia
307,Nantong,Jiangsu,China,Eastern Asia,Asia
308,Suzhou,Jiangsu,China,Eastern Asia,Asia
309,Taizhou,Jiangsu,China,Eastern Asia,Asia
310,Wuxi,Jiangsu,China,Eastern Asia,Asia
311,Xuzhou,Jiangsu,China,Eastern Asia,Asia
312,Yancheng,Jiangsu,China,Eastern Asia,Asia
313,Yangzhou,Jiangsu,China,Eastern Asia,Asia
314,Zhenjiang,Jiangsu,China,Eastern Asia,Asia
315,Jingdezhen,Jiangxi,China,Eastern Asia,Asia
316,Nanchang,Jiangxi,China,Eastern Asia,Asia
317,Pingxiang,Jiangxi,China,Eastern Asia,Asia
318,Yichun,Jiangxi,China,Eastern Asia,Asia
319,Changchun,Jilin,China,Eastern Asia,Asia
320,Jilin,Jilin,China,Eastern Asia,Asia
321,Liaoyuan,Jilin,China,Eastern Asia,Asia
322,Siping,Jilin,China,Eastern Asia,Asia
323,Anshan,Liaoning,China,Eastern Asia,Asia
324,Benxi,Liaoning,China,Eastern Asia,Asia
325,Chaoyang,Liaoning,China,Eastern Asia,Asia
326,Dalian,Liaoning,China,Eastern Asia,Asia
327,Fushun,Liaoning,China,Eastern Asia,Asia
328,Liaoyang,Liaoning,China,Eastern Asia,Asia
329,Shenyang,Liaoning,China,Eastern Asia,Asia
330,Tieling,Liaoning,China,Eastern Asia,Asia
331,Xining,Qinghai,China,Eastern Asia,Asia
332,Xi'an,Shaanxi,China,Eastern Asia,Asia
333,Xianyang,Shaanxi,China,Eastern Asia,Asia
334,Yulin,Shaanxi,China,Eastern Asia,Asia
335,Binzhou,Shandong,China,Eastern Asia,Asia
336,Heze,Shandong,China,Eastern Asia,Asia
337,Jinan,Shandong,China,Eastern Asia,Asia
338,Jining,Shandong,China,Eastern Asia,Asia
339,Liaocheng,Shandong,China,Eastern Asia,Asia
340,Linyi,Shandong,China,Eastern Asia,Asia
341,Qingdao,Shandong,China,Eastern Asia,Asia
342,Rizhao,Shandong,China,Eastern Asia,Asia
343,Weifang,Shandong,China,Eastern Asia,Asia
344,Weihai,Shandong,China,Eastern Asia,Asia
345,Zaozhuang,Shandong,China,Eastern Asia,Asia
346,Shanghai,Shanghai,China,Eastern Asia,Asia
347,Datong,Shanxi,China,Eastern Asia,Asia
348,Jincheng,Shanxi,China,Eastern Asia,Asia
349,Taiyuan,Shanxi,China,Eastern Asia,Asia
350,Xinzhou,Shanxi,China,Eastern Asia,Asia
351,Yangquan,Shanxi,China,Eastern Asia,Asia
352,Yuncheng,Shanxi,China,Eastern Asia,Asia
353,Chengdu,Sichuan,China,Eastern Asia,Asia
354,Deyang,Sichuan,China,Eastern Asia,Asia
355,Leshan,Sichuan,China,Eastern Asia,Asia
356,Mianyang,Sichuan,China,Eastern Asia,Asia
357,Nanchong,Sichuan,China,Eastern Asia,Asia
358,Neijiang,Sichuan,China,Eastern Asia,Asia
359,Suining,Sichuan,China,Eastern Asia,Asia
360,Yibin,Sichuan,China,Eastern Asia,Asia
361,Zigong,Sichuan,China,Eastern Asia,Asia
362,Tianjin,Tianjin,China,Eastern Asia,Asia
363,Aksu,Xinjiang,China,Eastern Asia,Asia
364,Urumqi,Xinjiang,China,Eastern Asia,Asia
365,Kunming,Yunnan,China,Eastern Asia,Asia
366,Hangzhou,Zhejiang,China,Eastern Asia,Asia
367,Huzhou,Zhejiang,China,Eastern Asia,Asia
368,Jiaxing,Zhejiang,China,Eastern Asia,Asia
369,Jinhua,Zhejiang,China,Eastern Asia,Asia
370,Ningbo,Zhejiang,China,Eastern Asia,Asia
371,Shaoxing,Zhejiang,China,Eastern Asia,Asia
372,Wenzhou,Zhejiang,China,Eastern Asia,Asia
373,Bello ,Antioquia,Colombia,South America,Americas
374,Medellín ,Antioquia,Colombia,South America,Americas
375,Barranquilla ,Atlántico,Colombia,South America,Americas
376,Soledad ,Atlántico,Colombia,South America,Americas
377,Cartagena ,Bolívar,Colombia,South America,Americas
378,Manizales ,Caldas,Colombia,South America,Americas
379,Bogotá ,Capital District,Colombia,South America,Americas
380,Montería ,Córdoba,Colombia,South America,Americas
381,Soacha ,Cundinamarca,Colombia,South America,Americas
382,Santa Marta ,Magdalena,Colombia,South America,Americas
383,Villavicencio ,Meta,Colombia,South America,Americas
384,San Juan de Pasto ,Nariño,Colombia,South America,Americas
385,Cúcuta ,Norte de Santander,Colombia,South America,Americas
386,Pereira ,Risaralda,Colombia,South America,Americas
387,Bucaramanga ,Santander,Colombia,South America,Americas
388,Ibagué ,Tolima,Colombia,South America,Americas
389,Cali ,Valle del Cauca,Colombia,South America,Americas
390,Bracknell Forest ,Berkshire,England,Northern Europe,Europe
391,Maidenhead ,Berkshire,England,Northern Europe,Europe
392,Reading ,Berkshire,England,Northern Europe,Europe
393,West Berkshire ,Berkshire,England,Northern Europe,Europe
394,Wokingham ,Berkshire,England,Northern Europe,Europe
395,High Wycombe,Buckinghamshire,England,Northern Europe,Europe
396,Milton Keynes,Buckinghamshire,England,Northern Europe,Europe
397,Cambridge,Cambridgeshire,England,Northern Europe,Europe
398,Peterborough,Cambridgeshire,England,Northern Europe,Europe
399,Cheshire,Cheshire,England,Northern Europe,Europe
400,Runcorn,Cheshire,England,Northern Europe,Europe
401,Warrington,Cheshire,England,Northern Europe,Europe
402,Woolston,Cheshire,England,Northern Europe,Europe
403,Carlisle,Cumbria,England,Northern Europe,Europe
404,Billericay,Essex,England,Northern Europe,Europe
405,Gateshead,Gateshead,England,Northern Europe,Europe
406,Cheltenham,Gloucestershire,England,Northern Europe,Europe
407,Cheltenham ,Gloucestershire,England,Northern Europe,Europe
408,Bury,Greater Manchester,England,Northern Europe,Europe
409,Manchester,Greater Manchester,England,Northern Europe,Europe
410,Basingstoke Hants,Hampshire,England,Northern Europe,Europe
411,Watford,Hertfordshire,England,Northern Europe,Europe
