ProductID	Product	Supplier	Category	Subcategory
1	Chocolate beetles 250g	A Datum Corporation	Food	Confectionery
2	Chocolate echidnas 250g	A Datum Corporation	Food	Confectionery
3	Chocolate frogs 250g	A Datum Corporation	Food	Confectionery
4	Chocolate sharks 250g	A Datum Corporation	Food	Confectionery
5	Novelty chilli chocolates 250g	A Datum Corporation	Food	Confectionery
6	Novelty chilli chocolates 500g	A Datum Corporation	Food	Confectionery
7	White chocolate moon rocks 250g	A Datum Corporation	Food	Confectionery
8	White chocolate snow balls 250g	A Datum Corporation	Food	Confectionery
9	A. Datum Point Shoot Digital Camera M500 Pink	A Datum Corporation	Technology	Cameras
10	"Acco 3-Hole Punch, Clear"	Accos	Office supplies	Binders
11	"Acco 3-Hole Punch, Durable"	Accos	Office supplies	Binders
12	"Acco 3-Hole Punch, Economy"	Accos	Office supplies	Binders
13	"Acco 3-Hole Punch, Recycled"	Accos	Office supplies	Binders
14	"Acco Binder Covers, Clear"	Accos	Office supplies	Binders
15	"Acco Binder Covers, Durable"	Accos	Office supplies	Binders
16	"Acco Binder Covers, Economy"	Accos	Office supplies	Binders
17	"Acco Binder Covers, Recycled"	Accos	Office supplies	Binders
18	"Acco Binder, Clear"	Accos	Office supplies	Binders
19	"Acco Binder, Durable"	Accos	Office supplies	Binders
20	"Acco Binder, Economy"	Accos	Office supplies	Binders
21	"Acco Binder, Recycled"	Accos	Office supplies	Binders
22	"Acco Binding Machine, Clear"	Accos	Office supplies	Binders
23	"Acco Binding Machine, Durable"	Accos	Office supplies	Binders
24	"Acco Binding Machine, Economy"	Accos	Office supplies	Binders
25	"Acco Binding Machine, Recycled"	Accos	Office supplies	Binders
26	"Acco Hole Reinforcements, Clear"	Accos	Office supplies	Binders
27	"Acco Hole Reinforcements, Durable"	Accos	Office supplies	Binders
28	"Acco Hole Reinforcements, Economy"	Accos	Office supplies	Binders
29	"Acco Hole Reinforcements, Recycled"	Accos	Office supplies	Binders
30	"Acco Index Tab, Clear"	Accos	Office supplies	Binders
31	"Acco Index Tab, Durable"	Accos	Office supplies	Binders
32	"Acco Index Tab, Economy"	Accos	Office supplies	Binders
33	"Accos Clamps, 12 Pack"	Accos	Office supplies	Fasteners
34	"Accos Clamps, Assorted Sizes"	Accos	Office supplies	Fasteners
35	"Accos Clamps, Bulk Pack"	Accos	Office supplies	Fasteners
36	"Accos Clamps, Metal"	Accos	Office supplies	Fasteners
