"Title","Video ID","Upload date/timestamp"
"Webinar: Build your first web application with no code","SRZtKHRY1RE","2022-09-09T07:34:20Z"
"Coding Bootcamp Montreal | Le Wagon Demo Day #931","0eKgUN9csFw","2022-09-07T16:18:09Z"
"Start learning to code with the best curriculum","KDJE73ko6Lk","2022-09-06T07:27:52Z"
"Welcome to Le Wagon Barcelona","cfT6lD9cQXw","2022-09-01T15:30:37Z"
"Start your tech career remotely with Le Wagon Online","SiA4hLyCA00","2022-09-01T10:56:10Z"
"Le Wagon Porto | Discover our new campus","4LSHnxrbmFw","2022-08-29T15:43:30Z"
"Le Wagon Singapore | Demo Day Batch #910 #911 | Web Development and Data Science Coding Projects","0ufZA8cFYd8","2022-08-29T09:45:45Z"
"Le Wagon Melbourne Demo Day | Batch #857 | Web Development","Ka4KITkK5Gs","2022-08-29T00:30:06Z"
"Le Wagon London - Is a Coding Bootcamp Right For You?","eGuMoaVIY4k","2022-08-26T08:42:19Z"
"Le Wagon Online | Data Science | Product Demo Day | Batch #913","-HzABV_r8e0","2022-08-23T17:22:05Z"
"Le Wagon Online | Data Science | Product Demo Day | Batch #812","zSfclADTKbY","2022-08-23T16:52:53Z"
"Le Wagon Online | Product Demo Day | Web Development Batch #811","EwZRmiyfq8g","2022-08-23T14:48:42Z"
"Webinar: Create your first NFT with Tezos, the green blockchain","K2dDB-9y-l4","2022-08-23T05:05:20Z"
"Discover Le Wagon Online","jBmiCdib1-Y","2022-08-19T16:39:01Z"
"WeShape and Le Wagon London Partnership To Nurture London's Underrepresented Tech Talent","OCVI8yBGQC4","2022-08-18T12:00:21Z"
"Le Wagon Cape Town Launch Party","vuk-1vnt7-8","2022-08-18T11:24:05Z"
"Le Wagon Coding Bootcamp Demo Day | Web Development Batch # 666 | Shanghai","yaqKjljGb0A","2022-08-17T06:08:20Z"
"Le Wagon Barcelona - New Campus Party","bFseCU_XonE","2022-08-11T14:54:38Z"
"Data Science Coding Bootcamp Tokyo | Le Wagon Demo Day - Spring 2022","j0s3E47J_Eg","2022-08-09T05:12:27Z"
"Alumni Story : Vickram Bayragee","WCwEoGfxMiY","2022-08-08T11:55:08Z"
"Alumni Story Mauritius : Meet Radhika","--IDul7aZn8","2022-08-05T12:10:33Z"
"Le Wagon Berlin Demo Day | Batch 871 | Data Science","KkeSt6GFsLI","2022-08-01T15:31:50Z"
"Le Wagon Berlin Demo Day I Batch 870 I Web Development","NYzqGc2xBaw","2022-08-01T15:07:16Z"
"Coding Bootcamp Le Wagon | Demo Day #654 Mauritius","wvwc-y7i0e4","2022-07-28T12:18:01Z"
